nuts2_code_2016,nuts2_code_2021,change_type,n_predecessor_regions,region_name
MT00,MT00,unchanged,1,
NL11,NL11,unchanged,1,
NL12,NL12,unchanged,1,
NL13,NL13,unchanged,1,
NL21,NL21,unchanged,1,
NL22,NL22,unchanged,1,
NL23,NL23,unchanged,1,
NL31,NL31,unchanged,1,
NL32,NL32,unchanged,1,
NL33,NL33,unchanged,1,
NL34,NL34,unchanged,1,
NL41,NL41,unchanged,1,
NL42,NL42,unchanged,1,
IS00,IS00,unchanged,1,
ITC1,ITC1,unchanged,1,
ITC2,ITC2,unchanged,1,
ITC3,ITC3,unchanged,1,
ITC4,ITC4,unchanged,1,
ITF1,ITF1,unchanged,1,
ITF2,ITF2,unchanged,1,
ITF3,ITF3,unchanged,1,
ITF4,ITF4,unchanged,1,
ITF5,ITF5,unchanged,1,
ITF6,ITF6,unchanged,1,
ITG1,ITG1,unchanged,1,
ITG2,ITG2,unchanged,1,
ITH1,ITH1,unchanged,1,
ITH2,ITH2,unchanged,1,
ITH3,ITH3,unchanged,1,
TR33,TR33,unchanged,1,
TR41,TR41,unchanged,1,
TR42,TR42,unchanged,1,
TR51,TR51,unchanged,1,
TR52,TR52,unchanged,1,
TR61,TR61,unchanged,1,
TR62,TR62,unchanged,1,
TR63,TR63,unchanged,1,
TR71,TR71,unchanged,1,
TR72,TR72,unchanged,1,
TR81,TR81,unchanged,1,
TR82,TR82,unchanged,1,
TR83,TR83,unchanged,1,
TR90,TR90,unchanged,1,
TRA1,TRA1,unchanged,1,
TRA2,TRA2,unchanged,1,
TRB1,TRB1,unchanged,1,
TRB2,TRB2,unchanged,1,
TRC1,TRC1,unchanged,1,
TRC2,TRC2,unchanged,1,
TRC3,TRC3,unchanged,1,
RO11,RO11,unchanged,1,
RO12,RO12,unchanged,1,
RO21,RO21,unchanged,1,
RO22,RO22,unchanged,1,
RO31,RO31,unchanged,1,
RO32,RO32,unchanged,1,
RO41,RO41,unchanged,1,
RO42,RO42,unchanged,1,
RS11,RS11,unchanged,1,
RS12,RS12,unchanged,1,
RS21,RS21,unchanged,1,
RS22,RS22,unchanged,1,
SE11,SE11,unchanged,1,
SE12,SE12,unchanged,1,
SE21,SE21,unchanged,1,
SE22,SE22,unchanged,1,
SE23,SE23,unchanged,1,
SE31,SE31,unchanged,1,
SE32,SE32,unchanged,1,
SE33,SE33,unchanged,1,
SI03,SI03,unchanged,1,
SI04,SI04,unchanged,1,
SK01,SK01,unchanged,1,
SK02,SK02,unchanged,1,
SK03,SK03,unchanged,1,
SK04,SK04,unchanged,1,
TR10,TR10,unchanged,1,
TR21,TR21,unchanged,1,
DEB1,DEB1,unchanged,1,
DEB2,DEB2,unchanged,1,
DEB3,DEB3,unchanged,1,
DEC0,DEC0,unchanged,1,
DED2,DED2,unchanged,1,
DED4,DED4,unchanged,1,
